192.168.0.194,7
192.168.0.99,7
192.168.0.96,4
192.168.0.19,4
192.168.0.37,6
192.168.0.209,4
192.168.0.201,7
192.168.0.107,6
192.168.0.92,4
192.168.0.212,2
192.168.0.77,3
192.168.0.108,5
192.168.0.22,5
192.168.0.149,5
192.168.0.157,5
192.168.0.58,3
192.168.0.219,3
192.168.0.220,8
192.168.0.53,9
192.168.0.64,7
192.168.0.144,4
192.168.0.67,5
192.168.0.51,4
192.168.0.112,4
192.168.0.105,2
192.168.0.199,4
192.168.0.226,6
192.168.0.249,3
192.168.0.152,3
192.168.0.40,2
192.168.0.90,3
192.168.0.240,5
192.168.0.121,3
192.168.0.154,3
192.168.0.48,5
192.168.0.116,3
192.168.0.218,3
192.168.0.12,2
192.168.0.34,2
192.168.0.176,3
192.168.0.10,5
192.168.0.200,7
192.168.0.189,3
192.168.0.217,6
192.168.0.181,4
192.168.0.2,2
192.168.0.68,2
192.168.0.72,3
192.168.0.122,6
192.168.0.186,6
192.168.0.214,10
192.168.0.28,3
192.168.0.26,6
192.168.0.20,6
192.168.0.211,3
192.168.0.210,6
192.168.0.123,2
192.168.0.44,5
192.168.0.233,9
192.168.0.238,3
192.168.0.71,2
192.168.0.39,3
192.168.0.198,5
192.168.0.94,6
192.168.0.69,2
192.168.0.234,5
192.168.0.169,2
192.168.0.35,2
192.168.0.109,2
192.168.0.80,4
192.168.0.62,6
192.168.0.235,1
192.168.0.164,1
192.168.0.138,1
192.168.0.81,3
192.168.0.45,5
192.168.0.91,2
192.168.0.161,5
192.168.0.100,2
192.168.0.223,12
192.168.0.9,7
192.168.0.230,5
192.168.0.236,5
192.168.0.255,6
192.168.0.79,1
192.168.0.179,3
192.168.0.150,7
192.168.0.191,2
192.168.0.70,4
192.168.0.192,9
192.168.0.247,7
192.168.0.65,6
192.168.0.193,6
192.168.0.139,1
192.168.0.6,6
192.168.0.140,6
192.168.0.86,1
192.168.0.47,1
192.168.0.246,3
192.168.0.27,3
192.168.0.38,7
192.168.0.41,6
192.168.0.231,1
192.168.0.101,4
192.168.0.135,3
192.168.0.52,3
192.168.0.155,5
192.168.0.74,5
192.168.0.13,4
192.168.0.170,6
192.168.0.50,4
192.168.0.142,9
192.168.0.89,5
192.168.0.119,6
192.168.0.159,5
192.168.0.204,4
192.168.0.222,8
192.168.0.126,4
192.168.0.85,2
192.168.0.174,8
192.168.0.254,4
192.168.0.132,7
192.168.0.130,7
192.168.0.160,10
192.168.0.57,5
192.168.0.43,5
192.168.0.203,8
192.168.0.131,2
192.168.0.102,4
192.168.0.129,4
192.168.0.182,6
192.168.0.227,9
192.168.0.76,5
192.168.0.95,3
192.168.0.136,6
192.168.0.248,6
192.168.0.187,5
192.168.0.156,3
192.168.0.106,6
192.168.0.104,7
192.168.0.183,6
192.168.0.18,5
192.168.0.237,5
192.168.0.118,4
192.168.0.184,6
192.168.0.162,5
192.168.0.8,8
192.168.0.165,5
192.168.0.114,6
192.168.0.232,6
192.168.0.125,7
192.168.0.196,4
192.168.0.63,5
192.168.0.207,3
192.168.0.190,5
192.168.0.1,3
192.168.0.124,5
192.168.0.103,5
192.168.0.173,3
192.168.0.25,7
192.168.0.228,8
192.168.0.245,5
192.168.0.110,1
192.168.0.120,7
192.168.0.146,3
192.168.0.148,3
192.168.0.3,5
192.168.0.243,5
192.168.0.59,3
192.168.0.115,4
192.168.0.15,2
192.168.0.127,3
192.168.0.205,5
192.168.0.82,4
192.168.0.42,2
192.168.0.84,3
192.168.0.151,5
192.168.0.14,6
192.168.0.24,3
192.168.0.93,10
192.168.0.117,3
192.168.0.56,5
192.168.0.5,2
192.168.0.88,5
192.168.0.36,5
192.168.0.30,6
192.168.0.185,7
192.168.0.251,1
192.168.0.166,4
192.168.0.31,6
192.168.0.167,3
192.168.0.73,8
192.168.0.241,5
192.168.0.216,9
192.168.0.250,4
192.168.0.49,5
192.168.0.206,7
192.168.0.60,1
192.168.0.133,4
192.168.0.54,7
192.168.0.229,4
192.168.0.244,5
192.168.0.153,4
192.168.0.253,5
192.168.0.163,4
192.168.0.87,4
192.168.0.134,3
192.168.0.128,4
192.168.0.213,6
192.168.0.78,8
192.168.0.55,7
192.168.0.175,7
192.168.0.4,4
192.168.0.98,1
192.168.0.23,8
192.168.0.29,5
192.168.0.215,6
192.168.0.202,6
192.168.0.32,5
192.168.0.61,2
192.168.0.7,3
192.168.0.224,6
192.168.0.197,10
192.168.0.195,4
192.168.0.143,1
192.168.0.208,4
192.168.0.137,6
192.168.0.66,8
192.168.0.141,4
192.168.0.180,1
192.168.0.111,6
192.168.0.11,5
192.168.0.239,4
192.168.0.158,6
192.168.0.177,3
192.168.0.75,10
192.168.0.21,4
192.168.0.97,2
192.168.0.178,2
192.168.0.168,6
192.168.0.188,4
192.168.0.83,7
192.168.0.113,3
192.168.0.252,3
192.168.0.17,5
192.168.0.242,8
192.168.0.16,2
192.168.0.225,5
192.168.0.172,7
192.168.0.145,2
192.168.0.171,4
192.168.0.221,3
192.168.0.33,4
